IPC,DSCR,IPCanterior,IPCanterior1,IPCanterior2,IPCanterior3,PM_L1_ICACHE_MISS,PERF_COUNT_HW_CACHE_L1D:READ:MISS,PERF_COUNT_HW_CACHE_L1D:WRITE:MISS,PERF_COUNT_HW_CACHE_LL:WRITE:MISS,PM_DATA_FROM_L3,PM_MEM_PREF,PERF_COUNT_HW_CACHE_L1I:PREFETCH:ACCESS,PERF_COUNT_HW_CACHE_L1D:PREFETCH:ACCESS,PM_MEM_READ,PM_L1_ICACHE_RELOADED_PREF,PM_DATA_FROM_MEMORY,PM_BR_MPRED_CMPL,LLC-LOAD-MISSES,PM_DISP_HELD_IQ_FULL,PM_CMPLU_STALL_DMISS_L3MISS,PERF_COUNT_HW_BRANCH_INSTRUCTIONS
1.239484,0,1.240480,1.274411,1.240993,1.269479,5385830,3122391,3381756,375882,1225834,2111516,5165460,1513325,31320,7073341,5420,7607920,202504,91411923,47105871,18065956
1.239584,0,1.239484,1.256398,1.240207,1.241993,5214901,3314069,3794793,408766,746720,2198250,5612982,1224760,33582,8010915,6955,8208082,223690,92569149,52822290,17375504
1.240115,0,1.239584,1.264124,1.239163,1.255433,5247271,3152695,3407612,421846,1020721,2290178,5404315,1590104,33478,7858156,7013,8173787,5621,49500947,1371860,20258231
1.238761,0,1.240115,1.204686,1.240383,1.196637,2875198,4085787,1707240,207562,411212,483050,7501756,1164404,266230,6172023,150206,7544529,109315,70412678,25832255,18274367
1.239626,0,1.238761,1.270886,1.238859,1.285761,5154928,2901878,3385080,366734,861924,2678072,4755576,1317193,45400,7567802,6476,7721997,54788,63681198,32046164,18251023
1.239645,0,1.239626,1.174853,1.239184,1.037127,2989207,2614205,2165346,230282,343606,538362,3408704,533223,50454,7912922,2959,7309063,4626,50570751,541289,20170763
1.240541,0,1.239645,1.275033,1.239410,1.269145,4341112,3577583,5056213,466718,1468614,60794,5882666,2134905,7758,6528388,886,7078957,28676,63904314,2754528,19934972
1.241176,0,1.240541,1.276389,1.240471,1.265447,4346162,3652096,3500671,414062,1580629,111032,6449277,1630744,12842,6422153,3207,7085867,48204,59334449,4679138,19253712
1.242213,0,1.241176,1.294807,1.240972,1.313286,3748976,3238723,2950716,407632,2039923,222728,6056763,1645364,13238,7852267,6849,6741954,67008,77158819,7256620,20326300
1.242430,0,1.242213,1.255515,1.242085,1.233282,5019868,4252272,7529142,602434,1890904,543060,5503427,1828350,31808,5715174,18510,6848390,10467,69253814,1160016,20458348
1.242530,0,1.242430,1.229687,1.242334,1.233197,4013975,3325899,4066021,389358,2014729,398372,5968581,1564424,32984,6845820,23973,7387196,69019,57836977,9571855,19748855
1.242890,0,1.242530,1.246325,1.242524,1.242640,4108990,3432408,4120950,397426,1550167,496584,6416505,1664788,45980,6267581,34536,6834173,85736,77801019,11991538,19574864
1.243119,0,1.242890,1.253340,1.242813,1.265760,3941254,3462399,3594783,380320,1398250,553540,5683383,1367947,69872,5925915,45946,7153585,101189,67697833,14784175,19255458
1.242617,0,1.243119,1.231730,1.242877,1.295309,2098472,2996066,2956402,510860,1780931,1256842,6007592,2122152,95182,8248510,49257,6639833,220031,161727818,33439207,24486691
1.242258,0,1.242617,1.223677,1.243105,1.312430,2566046,3026471,4060101,342378,980552,1251952,134808,1345711,237890,8018180,128586,5886955,390674,92031321,40574774,18317024
1.241719,0,1.242258,1.251121,1.241720,1.165151,4684831,3804349,11619317,3616944,3232906,1984026,5258851,2564849,230248,3902163,129142,4708270,329135,136936131,53909750,23400361
1.241731,0,1.241719,1.223543,1.242047,1.197390,4723904,3335706,3253361,353280,1899244,2883342,4146724,1500180,48842,6849856,40977,6942337,158871,86139835,36453186,17762507
1.241184,0,1.241731,1.155396,1.241606,1.210499,3492025,3004976,2633552,313880,1625808,659952,6455764,1395264,360058,5383998,171149,6473022,6222,60179886,1380302,19999173
1.240205,0,1.241184,1.107920,1.241023,1.102131,3682531,2911830,2466635,271152,917862,386968,7855989,1638667,321650,4364650,181862,6571750,6132,48136133,1513209,19728395
1.238737,0,1.240205,1.106999,1.240102,1.113811,3386225,2881645,2371474,238420,1003229,528672,6664443,1586611,362238,4530776,200731,6729906,7485,49087083,1928637,19525081
1.236427,0,1.238737,1.113219,1.239009,1.069722,3463633,2553197,2172146,252910,575557,560336,7917992,1266217,250752,5629724,135834,7108510,92473,69119395,29581353,17999999
1.237240,0,1.236427,1.271678,1.237057,1.253220,4825681,2859512,2664676,358048,947653,2540442,5384802,1168120,26650,8069798,5545,8020581,245020,118574230,97988144,16697723
1.236041,0,1.237240,1.202513,1.237048,1.337690,4704264,4120105,3130517,325482,545116,374880,7971548,1518403,482692,4766967,252106,7170859,7370,56038263,1850710,19845378
1.236198,0,1.236041,1.197547,1.236822,1.121348,3811721,2660445,2534783,289070,669055,1411032,6864752,1230240,33896,7883052,5262,8167666,284118,122992788,108652558,15747786
1.236916,0,1.236198,1.284740,1.236045,1.261560,4222497,2787134,3304540,370662,894848,122448,7906923,1835744,17226,7806499,1899,7421537,9112,60481843,787614,19745143
1.238070,0,1.236916,1.306271,1.236789,1.337043,3966282,3056513,4103553,478620,2247289,72706,6545816,2458719,12916,6720034,1758,7198624,40010,59584125,3679877,19346409
1.238529,0,1.238070,1.273955,1.237745,1.297701,4221146,3453628,3252953,415526,1759794,78632,6433915,1397826,13568,7075794,5261,7751784,64060,73979892,6117461,20257161
1.238809,0,1.238529,1.255794,1.238546,1.238817,3954027,3868686,4678577,447410,1211035,155686,7868866,1717302,18216,6455202,16862,6999690,33516,63679091,3125722,19234685
1.239061,0,1.238809,1.273211,1.238834,1.281125,3709945,3204090,4579534,385764,2175345,507851,5682162,1864244,15222,7356474,376,7065500,108664,66439673,13284398,18682315
1.239273,0,1.239061,1.247462,1.239044,1.236666,3911290,4002977,5054588,450568,1710009,343930,6787898,1591075,41336,7117608,34462,7842012,70044,66835280,9357792,18027714
1.239705,0,1.239273,1.264242,1.239174,1.284004,4269922,3177034,3150859,376434,1885360,440272,6121702,1861999,50586,5546193,39763,6921087,87851,71556991,12686513,19654005
1.239947,0,1.239705,1.271721,1.239486,1.286452,3726305,3163477,3417528,327326,1715950,619460,5783941,1498943,68260,6330022,50410,7456149,219746,95689834,27338377,18754024
1.239373,0,1.239947,1.253031,1.239685,1.219890,4027990,4145933,9410359,635072,2026542,1858600,8384946,2396186,116044,3294023,127669,5704893,312079,97181495,45394621,18318691
1.239333,0,1.239373,1.209437,1.239648,1.264659,89237,1789299,2108018,395250,1046735,2680904,7969396,1797135,41104,4189650,17684,6090233,341303,86891059,34732016,18257885
1.239149,0,1.239333,1.227537,1.239501,1.106253,3121412,5051639,1930279,368748,794585,2057044,3983171,4820610,131722,2472560,264308,5231277,139452,76147936,28947749,18430877
1.238235,0,1.239149,1.180974,1.239271,1.181875,2847270,3987720,5650932,333300,2082669,1798964,6588894,1760223,268540,5538526,155102,6630372,167543,92998045,38392961,18740986
1.238186,0,1.238235,1.264037,1.238521,1.259462,4499270,3475300,2928058,433380,1304746,1962610,5708822,1215171,55708,7403448,7467,7822228,180291,77627437,40813952,17581432
1.237680,0,1.238186,1.247763,1.238416,1.223535,4399859,3108069,3090221,323662,1449951,1081382,6335196,1836352,36588,7982533,4577,8407270,195362,86754903,45125834,17682833
1.237269,0,1.237680,1.261259,1.238030,1.280450,4560787,3480899,4397544,467028,1383416,2114700,4921207,1398944,35624,8120891,6253,8921255,213135,81159310,49826896,17082814
1.237959,0,1.237269,1.269248,1.237507,1.280644,5090359,3257677,3406346,408754,1315981,2259204,4818427,1450944,30244,8233820,5035,8497988,229280,88434896,54441500,17508189
1.237509,0,1.237959,1.229611,1.237738,1.265475,5398374,3336283,3328980,385036,644203,207054,7796987,1684828,424368,4290280,242086,6456772,7985,47345637,1682746,20132916
1.237428,0,1.237509,1.239586,1.237875,1.190290,3725846,2874545,2473871,304240,967330,1017260,7087878,1428369,26334,7955278,5786,8372538,268851,94217344,65120163,16789549
1.237923,0,1.237428,1.229655,1.237432,1.252967,5379451,3390959,3301875,406578,738883,1523198,5637481,1457664,262106,6272486,137391,7784370,8985,14050627,2250493,5152716
1.238587,0,1.237923,1.292579,1.237602,1.314141,5107344,2655339,3587247,543446,1151104,119732,7810559,1892635,6216,6669829,191,7125530,21108,65556054,2010581,20382999
1.238841,0,1.238587,1.269344,1.238391,1.278089,4364719,3670894,2727217,397082,1838929,73766,6795919,1892380,9896,6705196,2492,7695319,46380,63795798,4248772,19420461
1.239485,0,1.238841,1.303402,1.238833,1.292414,4302542,3525827,3669255,397886,1275348,133446,7070357,1552262,10674,5667890,7507,6750647,51562,71653587,5422184,19363623
